AS_OF_DATE,SKU,TTL_INV_DC,SRP,CHANGED_SRP,WEEKLY_SALES,TTL_INV_LOC,TTL_INT_LOC,DESCR,PARENT_MODEL,PHONE_MODEL,OEM
12/24/2022,4776R,0,79.99,79.99,0,0,0,APP GTB IOXCAN NONE BLK, ,NONE,GTB
12/31/2022,4776R,0,79.99,79.99,0,0,0,APP GTB IOXCAN NONE BLK,UNASSIGNED,NONE,GTB
1/7/2023,4776R,0,79.99,79.99,0,0,0,APP GTB IOXCAN NONE BLK,UNASSIGNED,NONE,GTB
1/21/2023,4776R,0,79.99,79.99,0,0,0,APP GTB IOXCAN NONE BLK,UNASSIGNED,NONE,GTB
1/28/2023,4776R,0,79.99,79.99,0,0,0,APP GTB IOXCAN NONE BLK,UNASSIGNED,NONE,GTB
2/4/2023,4776R,0,79.99,79.99,0,0,0,APP GTB IOXCAN NONE BLK,UNASSIGNED,NONE,GTB
2/11/2023,4776R,0,79.99,79.99,0,0,0,APP GTB IOXCAN NONE BLK,UNASSIGNED,NONE,GTB
2/18/2023,4776R,0,79.99,79.99,0,0,0,APP GTB IOXCAN NONE BLK,UNASSIGNED,NONE,GTB
2/25/2023,4776R,0,79.99,79.99,0,0,0,APP GTB IOXCAN NONE BLK,UNASSIGNED,NONE,GTB
3/4/2023,4776R,0,79.99,79.99,0,0,0,APP GTB IOXCAN NONE BLK,UNASSIGNED,NONE,GTB
3/11/2023,4776R,0,79.99,79.99,0,0,0,APP GTB IOXCAN NONE BLK,UNASSIGNED,NONE,GTB
3/18/2023,4776R,0,79.99,79.99,0,0,0,APP GTB IOXCAN NONE BLK,UNASSIGNED,NONE,GTB
3/25/2023,4776R,0,79.99,79.99,0,0,0,APP GTB IOXCAN NONE BLK,UNASSIGNED,NONE,GTB
4/1/2023,4776R,0,79.99,79.99,0,0,0,APP GTB IOXCAN NONE BLK,UNASSIGNED,NONE,GTB
4/8/2023,4776R,0,79.99,79.99,0,0,0,APP GTB IOXCAN NONE BLK,UNASSIGNED,NONE,GTB
5/6/2023,4776R,0,79.99,79.99,0,0,0,APP GTB IOXCAN NONE BLK,UNASSIGNED,NONE,GTB
5/13/2023,4776R,0,79.99,79.99,0,0,0,APP GTB IOXCAN NONE BLK,UNASSIGNED,NONE,GTB
10/8/2022,4898Q,1897,29.99,29.99,157,8822,99,ATC TLT MAGSAFSTD WALLET BLK,TYLT,WALLET,TLT
10/15/2022,4898Q,1699,29.99,29.99,187,8873,23,ATC TLT MAGSAFSTD WALLET BLK,TYLT,WALLET,TLT
10/22/2022,4898Q,1499,29.99,29.99,168,8849,42,ATC TLT MAGSAFSTD WALLET BLK,TYLT,WALLET,TLT
10/29/2022,4898Q,1576,29.99,29.99,141,8864,29,ATC TLT MAGSAFSTD WALLET BLK,TYLT,WALLET,TLT
11/5/2022,4898Q,1161,29.99,29.99,117,9075,30,ATC TLT MAGSAFSTD WALLET BLK,TYLT,WALLET,TLT
11/12/2022,4898Q,1010,29.99,29.99,104,9055,34,ATC TLT MAGSAFSTD WALLET BLK,TYLT,WALLET,TLT
11/19/2022,4898Q,916,29.99,29.99,106,9056,22,ATC TLT MAGSAFSTD WALLET BLK,TYLT,WALLET,TLT
12/3/2022,4898Q,1154,29.99,29.99,93,9137,34,ATC TLT MAGSAFSTD WALLET BLK,TYLT,WALLET,TLT
12/10/2022,4898Q,934,29.99,29.99,114,9137,27,ATC TLT MAGSAFSTD WALLET BLK,TYLT,WALLET,TLT
12/17/2022,4898Q,795,29.99,29.99,113,9117,21,ATC TLT MAGSAFSTD WALLET BLK,TYLT,WALLET,TLT
12/24/2022,4898Q,711,29.99,29.99,171,9010,26,ATC TLT MAGSAFSTD WALLET BLK,TYLT,WALLET,TLT
12/31/2022,4898Q,544,29.99,29.99,155,8967,37,ATC TLT MAGSAFSTD WALLET BLK,TYLT,WALLET,TLT
1/7/2023,4898Q,1486,29.99,29.99,79,8974,32,ATC TLT MAGSAFSTD WALLET BLK,TYLT,WALLET,TLT
1/21/2023,4898Q,510,29.99,29.99,132,8925,38,ATC TLT MAGSAFSTD WALLET BLK,TYLT,WALLET,TLT
1/28/2023,4898Q,1186,29.99,29.99,106,8906,25,ATC TLT MAGSAFSTD WALLET BLK,TYLT,WALLET,TLT
2/4/2023,4898Q,1507,29.99,29.99,95,8888,28,ATC TLT MAGSAFSTD WALLET BLK,TYLT,WALLET,TLT
2/11/2023,4898Q,1282,29.99,29.99,87,8929,22,ATC TLT MAGSAFSTD WALLET BLK,TYLT,WALLET,TLT
2/18/2023,4898Q,1197,29.99,29.99,81,8911,16,ATC TLT MAGSAFSTD WALLET BLK,TYLT,WALLET,TLT
2/25/2023,4898Q,1104,29.99,29.99,82,8882,16,ATC TLT MAGSAFSTD WALLET BLK,TYLT,WALLET,TLT
10/8/2022,4165R,31,50,50,99,1945,8,CAS BGL CQXHNECMB IPH 14P BLU,IPH 14P,HERMI,BGL
10/15/2022,4165R,2,50,50,89,1965,95,CAS BGL CQXHNECMB IPH 14P BLU,IPH 14P,HERMI,BGL
10/22/2022,4165R,1,50,50,102,1943,3,CAS BGL CQXHNECMB IPH 14P BLU,IPH 14P,HERMI,BGL
